Título da Proposta
"PVA1088-2024 - Inteligência Artificial , Impressão 3D e Realidade Aumentada para Inovação em Saúde"
PVB1390-2024 - Educação Antirracista em Alagoas na Década de 1930 : um estudo da trajetória social da professora Irene Garrido ( 1902-1976 )
PVG1069-2024 - Carbono e nitrogênio da biomassa microbiana em áreas de pastagem e palma forrageira no semiárido de Alagoas
PVH1251-2024 - RESPIRAÇÃO DO SOLO SOB DIFERENTES SISTEMAS DE MANEJO DE LIMA
PVN1043-2024 DESEMPENHO AGRONÔMICO E ADAPTAÇÃO DE CULTIVARES DE AMENDOIM PARA O SEMIÁRIDO ALAGOANO
PVE1133-2024 - Mulheres escravizadas em Alagoas : Uma proposta de pesquisa e ensino a partir de registros de protagonismo feminino nos periódicos locais ( 1870 e 1880 )
PVP676-2023 - Pegada Hídrica - Monitoramento do Uso da Água na Preparação de Alimentos
PVE1367-2024 - Explorando a Interação entre Teoria dos Conjuntos e Morfologia Matemática Binária na Análise de Imagens
PVM1358-2024 O emprego do Método de Polya para a Resolução de Problemas Matemáticos na Educação Profissional e Tecnológica
PVH1186-2024 Desempenho agronômico de variedades de milho ( Zea Mays L. ) para a produção de minimilho em Murici / AL .
PVH1057-2024 - Estética platônica : diálogos com Neurociência e Psicologia
"PVP1044-2024 Pesca , piscicultura e turismo : Conflitos socioambientais no Monumento Natural do Rio São Francisco ( MoNa - RSF )"
PVL1286-2024 MAPEAMENTO E DIAGNÓSTICO DOS GARGALOS TECNOLÓGICOS DA AGRICULTURA FAMILIAR NO ESTADO DE ALAGOAS
PVG1112-2024 INVENTÁRIO DOS RECURSOS PESQUEIROS MARINHOS CAPTURADOS NA PRAIA DO FRANCÊS - MARECHAL DEODORO - AL .
PVE1128-2024 CONHECIMENTO PEDAGÓGICO DO CONTEÚDO DOS LICENCIANDOS DE CIÊNCIAS BIOLÓGICAS PARTICIPANTES DO PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO À DOCÊNCIA ( PIBID )
PVL971-2024 - REAÇÃO DE CULTIVARES DE BERINJELA AO NEMATOIDE DAS GALHAS
"PVH1056-2024 - Estética , Psyche e Arte em Platão"
PVE1060-2024 - Juventudes LGBTQIAPN + : performatividades e narrativas de formação profissional na Rede Federal de Ensino .
PVL1232-2024 - O QUE A ESCOLA DÁ ? O QUE A ESCOLA TOMA ? UMA CARTOGRAFIA SOBRE INFLUÊNCIAS ESCOLARES EM BAGAGENS MATEMÁTICAS DE PESSOAS NO ALTO SERTÃO ALAGOANO
PVL1055-2024 - Juventudes e permanência escolar : condição juvenil das mães estudantes da EJA / EPT
PVM1355-2024 - Um passeio pela Teoria dos Números : aplicações a sistemas de códigos usuais e criptografia
PVF1042-2024 CRUZAMENTOS INTRA E INTERESPECÍFICOS E AVALIAÇÃO DE HÍBRIDOS EM PITAYA
PVL1013-2024 - Produção de Mudas de Berinjela em Diferentes Substratos e Níveis de Solução Nutritiva
PVH1343-2024 - Germinação e índice de velocidade de germinação de sementes de Murici
PVI1226-2024 - Mercado transfigurado da religião no Brasil ( o caso das Assembleias de Deus ) .
PVE1021-2024 - MONITORAMENTO DA QUALIDADE DA ÁGUA DA LAGOA MUNDAÚ EM PONTOS ESTRATÉGICOS DO MUNICÍPIO DE COQUEIRO SECO ALAGOAS
PVH1136-2024 - As questões de gênero na Zona da Mata de Alagoas : experiências e percepções da implementação de políticas públicas para mulheres
"PVJ1143-2024 - Educação , política e emancipação em Gramsci : um estudo a partir dos escritos do cárcere"
PVD1263-2024 - MODELO PARA AVALIAÇÃO DA HABILIDADE ESPACIAL EM DESENHO ASSISTIDO POR COMPUTADOR
PVP996-2024 - Religião Pós - Moderna : Uma Análise Psicanalítica e Filosófica
PVL1072-2024 - Eichhornia crassipes : avaliação do potencial de produção de biogás com a macrófita invasora em biodigestores de baixo custo
PVI1377-2024 IMPACTOS AMBIENTAIS E ECONÔMICOS DECORRENTES DE PERDAS INCORPORADAS DE ARGAMASSAS EM ALVENARIAS DE ELEVAÇÃO
PVE1397-2024 -O CURRÍCULO DOS CURSOS DE LICENCIATURA DO INSTITUTO FEDERAL DE ALAGOAS E A FORMAÇÃO DOCENTE PARA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
PVE1207-2024 - Validação empírica de uma prancha digital personalizada para comunicação alternativa e aumentativa de pessoas com TEA
